tod,entry,exit,trip_id,reliability
500,3,3,03_03,0
500,3,5,03_05,0
500,3,6,03_06,0
500,3,7,03_07,0
500,3,9,03_09,0
500,3,10,03_10,0
500,3,11,03_11,0
500,3,12,03_12,0
500,4,4,04_04,0
500,4,5,04_05,0
500,4,6,04_06,0
500,4,7,04_07,0
500,4,9,04_09,0
500,4,10,04_10,0
500,4,11,04_11,0
500,4,12,04_12,0
500,5,5,05_05,0
500,5,6,05_06,0
500,5,7,05_07,0
500,5,9,05_09,0
500,5,10,05_10,0
500,5,11,05_11,0
500,5,12,05_12,0
500,6,6,06_06,0
500,6,7,06_07,0
500,6,9,06_09,0
500,6,10,06_10,0
500,6,11,06_11,0
500,6,12,06_12,0
500,7,7,07_07,0
500,8,8,08_08,0
500,8,9,08_09,0
500,8,10,08_10,0
500,8,11,08_11,0
500,8,12,08_12,0
500,9,9,09_09,0
500,9,10,09_10,0
500,9,11,09_11,0
500,9,12,09_12,0
500,10,10,10_10,0
500,10,11,10_11,0
500,10,12,10_12,0
500,11,11,11_11,0
500,11,12,11_12,0
500,12,12,12_12,0
500,13,13,13_13,0
500,13,14,13_14,0
500,13,15,13_15,0
500,13,16,13_16,0
500,13,17,13_17,0
500,13,18,13_18,0
500,13,20,13_20,0
500,13,21,13_21,0
500,13,22,13_22,0
500,13,23,13_23,0
500,14,14,14_14,0
500,14,15,14_15,0
500,14,16,14_16,0
500,14,17,14_17,0
500,14,18,14_18,0
500,14,20,14_20,0
500,14,21,14_21,0
500,14,22,14_22,0
500,14,23,14_23,0
500,15,15,15_15,0
500,15,16,15_16,0
500,15,17,15_17,0
500,15,18,15_18,0
500,15,20,15_20,0
500,15,21,15_21,0
500,15,22,15_22,0
500,15,23,15_23,0
500,16,16,16_16,0
500,16,17,16_17,0
500,16,18,16_18,0
500,16,20,16_20,0
500,16,21,16_21,0
500,16,22,16_22,0
500,16,23,16_23,0
500,17,17,17_17,0
500,17,18,17_18,0
500,17,20,17_20,0
500,17,21,17_21,0
500,17,22,17_22,0
