trip,start.plaza,end.plaza,trip_name,trip_dist
2731,2,5,nb_02_05,6.7
2732,2,10,nb_02_10,15.4
2733,6,10,nb_06_10,8.4
2734,1,10,nb_01_10,15.4
2735,1,5,nb_01_05,6.7
2736,1,3,nb_01_03,2.9
2737,3,3,nb_03_03,0
2738,3,5,nb_03_05,3.8
2739,3,10,nb_03_10,12.5
2740,4,5,nb_04_05,0.7
2741,4,10,nb_04_10,9.4
2742,8,10,nb_08_10,3.3
2743,9,10,nb_09_10,1.1
2774,2,3,nb_02_03,2.9
2744,9,11,sb_09_11,1.9
2745,8,11,sb_08_11,3.9
2746,7,11,sb_07_11,6.7
2747,5,5,sb_05_05,0
2748,5,11,sb_05_11,7.4
2749,4,6,sb_04_06,1.3
2750,4,5,sb_04_05,1
2751,4,11,sb_04_11,8.4
2752,3,6,sb_03_06,4.7
2753,3,5,sb_03_05,4.4
2754,3,11,sb_03_11,11.8
2755,2,6,sb_02_06,6.2
2756,2,5,sb_02_05,5.9
2757,2,11,sb_02_11,13.3
2758,1,6,sb_01_06,7.8
2759,1,5,sb_01_05,7.5
2760,1,11,sb_01_11,14.9
