entry,exit,trip_length
3,3,2.03
3,5,5.61
3,6,8.23
3,7,6.87
3,9,11.57
3,10,14.36
3,11,14.93
3,12,15.38
4,4,1.71
4,5,5.29
4,6,7.91
4,7,6.55
4,9,11.25
4,10,14.04
4,11,14.61
4,12,15.06
5,5,3.58
5,6,6.2
5,7,4.84
5,9,9.54
5,10,12.33
5,11,12.9
5,12,13.35
6,6,2.62
6,7,1.26
6,9,5.96
6,10,8.75
6,11,9.32
6,12,9.77
7,7,0.25
8,8,0.9
8,9,4.24
8,10,7.03
8,11,7.6
8,12,8.05
9,9,3.34
9,10,6.13
9,11,6.7
9,12,7.15
10,10,2.28
10,11,2.85
10,12,3.3
11,11,0.57
11,12,1.02
12,12,0.45
13,13,1.54
13,14,2.82
13,15,3.81
13,16,7.15
13,17,10.28
13,18,8.05
13,20,12.86
13,21,13.9
13,22,15.06
13,23,15.06
14,14,1.28
14,15,2.27
14,16,5.61
14,17,8.74
14,18,6.51
14,20,11.32
14,21,12.36
14,22,13.52
14,23,13.52
15,15,0.99
15,16,4.33
15,17,7.46
15,18,5.23
15,20,10.04
15,21,11.08
15,22,12.24
15,23,12.24
16,16,0.48
16,17,3.61
16,18,1.38
16,20,6.19
16,21,7.23
16,22,8.39
16,23,8.39
17,17,2.66
17,18,0.43
17,20,5.24
17,21,6.28
17,22,7.44
17,23,7.44
18,18,0
18,21,5.85
19,19,1.77
19,20,4.35
19,21,5.39
19,22,6.55
19,23,6.55
20,20,2.58
20,21,3.62
20,22,4.78
20,23,4.78
21,21,1.04
21,22,2.2
21,23,2.2
22,22,1.71
23,23,1.71
