Downloaded HOV & GP?,Illegal? (1 = illegal),Entry Plaza,Exit Plaza,Entry exit concat,Trip def ID 1 (most common),Trip def ID 2 (2nd most common),Missing? (1 = missing),Count,Percentage,Actual entry mile post,Actual exit mile post,Loop entry mile post,Loop exit mile post,Dist btwn entry & exit loop,Actual - loop entry mile post,Actual - loop exit mile post,Note
1,0,3,3,33,2691,2736,1,303676,1.79%,13.74,15.76,13.6,15.63,2.03,0.14,0.13,
1,0,3,5,35,2691,2736,0,502052,2.96%,13.74,19.12,13.6,19.21,5.61,0.14,-0.09,
1,0,3,6,36,2690,2735,1,662877,3.90%,13.74,21.86,13.6,21.83,8.23,0.14,0.03,
1,0,3,7,37,2690,2735,0,225994,1.33%,13.74,20.35,13.6,20.47,6.87,0.14,-0.12,
1,0,3,9,39,2689,2734,1,229669,1.35%,13.74,25.43,13.6,25.17,11.57,0.14,0.25,
1,0,3,10,310,2689,2734,1,120356,0.71%,13.74,27.80,13.6,27.96,14.36,0.14,-0.16,
1,1,3,11,311,2689,2734,1,19480,0.11%,13.74,NA,13.6,28.53,14.93,0.14,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 3-12
1,0,3,12,312,2689,2734,0,481904,2.84%,13.74,29.22,13.6,28.98,15.38,0.14,0.24,
1,0,4,4,44,2729,2774,1,58581,0.35%,13.93,15.76,13.92,15.63,1.71,0.01,0.13,
1,0,4,5,45,2774,2729,0,110832,0.65%,13.93,19.12,13.92,19.21,5.29,0.01,-0.09,
1,0,4,6,46,2686,2731,1,158746,0.94%,13.93,21.86,13.92,21.83,7.91,0.01,0.03,
1,0,4,7,47,2686,2731,0,104597,0.62%,13.93,20.35,13.92,20.47,6.55,0.01,-0.12,
1,0,4,9,49,2687,2732,1,51373,0.30%,13.93,25.43,13.92,25.17,11.25,0.01,0.25,
1,0,4,10,410,2687,2732,1,18020,0.11%,13.93,27.80,13.92,27.96,14.04,0.01,-0.16,
1,1,4,11,411,2687,2732,1,2012,0.01%,13.93,NA,13.92,28.53,14.61,0.01,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 4-12
1,0,4,12,412,2687,2732,0,99711,0.59%,13.93,29.22,13.92,28.98,15.06,0.01,0.24,
1,0,5,5,55,2692,2737,0,557678,3.29%,15.76,19.12,15.63,19.21,3.58,0.13,-0.09,
1,0,5,6,56,2693,2738,1,568798,3.35%,15.76,21.86,15.63,21.83,6.2,0.13,0.03,
1,0,5,7,57,2738,2693,0,190296,1.12%,15.76,20.35,15.63,20.47,4.84,0.13,-0.12,
1,0,5,9,59,2694,2739,1,203842,1.20%,15.76,25.43,15.63,25.17,9.54,0.13,0.25,
1,0,5,10,510,2694,2739,1,94997,0.56%,15.76,27.80,15.63,27.96,12.33,0.13,-0.16,
1,1,5,11,511,2694,2739,1,17026,0.10%,15.76,NA,15.63,28.53,12.9,0.13,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 5-12
1,0,5,12,512,2694,2739,0,356303,2.10%,15.76,29.22,15.63,28.98,13.35,0.13,0.24,
1,0,6,6,66,2695,2740,1,389236,2.29%,19.12,21.86,19.21,21.83,2.62,-0.09,0.03,
1,0,6,7,67,2695,2740,0,66040,0.39%,19.12,20.35,19.21,20.47,1.26,-0.09,-0.12,
1,0,6,9,69,2696,2741,1,94114,0.55%,19.12,25.43,19.21,25.17,5.96,-0.09,0.25,
1,0,6,10,610,2696,2741,1,49381,0.29%,19.12,27.80,19.21,27.96,8.75,-0.09,-0.16,
1,1,6,11,611,2696,2741,1,9314,0.05%,19.12,NA,19.21,28.53,9.32,-0.09,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 6-12
1,0,6,12,612,2696,2741,0,187415,1.10%,19.12,29.22,19.21,28.98,9.77,-0.09,0.24,
1,1,7,7,77,2740,2695,1,22107,0.13%,NA,20.35,20.22,20.47,0.25,#VALUE!,-0.12,Shouldn't be possible b/c can't enter at 7
1,0,8,8,88,2688,2733,1,209424,1.23%,20.97,21.86,20.93,21.83,0.9,0.04,0.03,
1,0,8,9,89,2688,2733,1,79687,0.47%,20.97,25.43,20.93,25.17,4.24,0.04,0.25,
1,0,8,10,810,2688,2733,1,32048,0.19%,20.97,27.80,20.93,27.96,7.03,0.04,-0.16,
