Entry Plaza,Exit Plaza,Entry exit concat,Trip def ID 1 (most common),Trip def ID 2 (2nd most common),Missing,Count,Percentage,Actual entry mile post,Actual exit mile post,Loop entry mile post,Loop exit mile post,Actual - loop entry mile post,Actual - loop exit mile post,Note
3,3,33,2691,2736,1,303676,1.79%,13.74,15.76,13.6,15.63,0.14,0.13,
3,5,35,2691,2736,0,502052,2.96%,13.74,19.12,13.6,19.21,0.14,-0.09,
3,6,36,2690,2735,1,662877,3.90%,13.74,21.86,13.6,21.83,0.14,0.03,
3,7,37,2690,2735,0,225994,1.33%,13.74,20.35,13.6,20.47,0.14,-0.12,
3,9,39,2689,2734,1,229669,1.35%,13.74,25.43,13.6,25.17,0.14,0.25,
3,10,310,2689,2734,1,120356,0.71%,13.74,27.80,13.6,27.96,0.14,-0.16,
3,11,311,2689,2734,1,19480,0.11%,13.74,NA,13.6,28.53,0.14,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 3-12
3,12,312,2689,2734,0,481904,2.84%,13.74,29.22,13.6,28.98,0.14,0.24,
4,4,44,2729,2774,1,58581,0.35%,13.93,15.76,13.92,15.63,0.01,0.13,
4,5,45,2774,2729,0,110832,0.65%,13.93,19.12,13.92,19.21,0.01,-0.09,
4,6,46,2686,2731,1,158746,0.94%,13.93,21.86,13.92,21.83,0.01,0.03,
4,7,47,2686,2731,0,104597,0.62%,13.93,20.35,13.92,20.47,0.01,-0.12,
4,9,49,2687,2732,1,51373,0.30%,13.93,25.43,13.92,25.17,0.01,0.25,
4,10,410,2687,2732,1,18020,0.11%,13.93,27.80,13.92,27.96,0.01,-0.16,
4,11,411,2687,2732,1,2012,0.01%,13.93,NA,13.92,28.53,0.01,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 4-12
4,12,412,2687,2732,0,99711,0.59%,13.93,29.22,13.92,28.98,0.01,0.24,
5,5,55,2692,2737,0,557678,3.29%,15.76,19.12,15.63,19.21,0.13,-0.09,
5,6,56,2693,,1,568798,3.35%,15.76,21.86,15.63,21.83,0.13,0.03,
5,7,57,2738,2693,0,190296,1.12%,15.76,20.35,15.63,20.47,0.13,-0.12,
5,9,59,,,1,203842,1.20%,15.76,25.43,15.63,25.17,0.13,0.25,
5,10,510,,,1,94997,0.56%,15.76,27.80,15.63,27.96,0.13,-0.16,
5,11,511,,,1,17026,0.10%,15.76,NA,15.63,28.53,0.13,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 5-12
5,12,512,2739,2694,0,356303,2.10%,15.76,29.22,15.63,28.98,0.13,0.24,
6,6,66,,,1,389236,2.29%,19.12,21.86,19.21,21.83,-0.09,0.03,
6,7,67,2740,2695,0,66040,0.39%,19.12,20.35,19.21,20.47,-0.09,-0.12,
6,9,69,,,1,94114,0.55%,19.12,25.43,19.21,25.17,-0.09,0.25,
6,10,610,,,1,49381,0.29%,19.12,27.80,19.21,27.96,-0.09,-0.16,
6,11,611,,,1,9314,0.05%,19.12,NA,19.21,28.53,-0.09,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 6-12
6,12,612,2741,2696,0,187415,1.10%,19.12,29.22,19.21,28.98,-0.09,0.24,
7,7,77,2740,2695,1,22107,0.13%,NA,20.35,20.22,20.47,#VALUE!,-0.12,Shouldn't be possible b/c can't enter at 7
8,8,88,,,1,209424,1.23%,20.97,21.86,20.93,21.83,0.04,0.03,
8,9,89,,,1,79687,0.47%,20.97,25.43,20.93,25.17,0.04,0.25,
8,10,810,,,1,32048,0.19%,20.97,27.80,20.93,27.96,0.04,-0.16,
8,11,811,,,1,3889,0.02%,20.97,NA,20.93,28.53,0.04,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 8-12
8,12,812,2733,2688,0,154573,0.91%,20.97,29.22,20.93,28.98,0.04,0.24,
9,9,99,2733,2688,1,85225,0.50%,NA,25.43,21.83,25.17,#VALUE!,0.25,Shouldn't be possible b/c can't enter at 9
9,10,910,2733,2688,1,7433,0.04%,NA,27.80,21.83,27.96,#VALUE!,-0.16,Shouldn't be possible b/c can't enter at 9
9,11,911,2688,2733,1,2957,0.02%,NA,NA,21.83,28.53,#VALUE!,#VALUE!,Shouldn't be possible b/c can't enter at 9
9,12,912,2733,2688,1,26828,0.16%,NA,29.22,21.83,28.98,#VALUE!,0.24,Shouldn't be possible b/c can't enter at 9 and can't exit at 11; perhaps this should be same as 4-12
10,10,1010,2697,2742,1,133356,0.79%,25.43,27.80,25.68,27.96,-0.25,-0.16,
10,11,1011,2697,2742,1,9653,0.06%,25.43,NA,25.68,28.53,-0.25,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 10-12
10,12,1012,2697,2742,0,325914,1.92%,25.43,29.22,25.68,28.98,-0.25,0.24,
11,11,1111,2743,2698,1,70176,0.41%,27.80,NA,27.96,28.53,-0.16,#VALUE!,Shouldn't be possible b/c can't exit at 11; perhaps this should be same as 11-12
11,12,1112,2698,2743,0,167541,0.99%,27.80,29.22,27.96,28.98,-0.16,0.24,
12,12,1212,,,1,76193,0.45%,NA,29.22,28.53,28.98,#VALUE!,0.24,Shouldn't be possible b/c can't enter at 12
13,13,1313,,,1,203222,1.20%,28.89,27.61,28.98,27.44,-0.09,0.16,
13,14,1314,,,1,224511,1.32%,28.89,25.95,28.98,26.16,-0.09,-0.21,
13,15,1315,,,1,89570,0.53%,28.89,NA,28.98,25.17,-0.09,#VALUE!,Shouldn't be possible b/c can't exit at 15
13,16,1316,,,1,46993,0.28%,28.89,NA,28.98,21.83,-0.09,#VALUE!,Shouldn't be possible b/c can't exit at 16
13,17,1317,,,0,297499,1.75%,28.89,18.95,28.98,18.7,-0.09,0.25,
13,18,1318,,,0,297278,1.75%,28.89,20.84,28.98,20.93,-0.09,-0.09,
13,20,1320,,,1,378919,2.23%,28.89,16.16,28.98,16.12,-0.09,0.04,
13,21,1321,,,1,32462,0.19%,28.89,NA,28.98,15.08,-0.09,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 13-22 or 13-23
13,22,1322,,,1,727950,4.29%,28.89,13.70,28.98,13.6,-0.09,0.10,
13,23,1323,,,0,236816,1.39%,28.89,13.84,28.98,13.92,-0.09,-0.08,
14,14,1414,,,1,107545,0.63%,27.61,25.95,27.44,26.16,0.16,-0.21,
14,15,1415,,,1,18845,0.11%,27.61,NA,27.44,25.17,0.16,#VALUE!,Shouldn't be possible b/c can't exit at 15
14,16,1416,,,1,9631,0.06%,27.61,NA,27.44,21.83,0.16,#VALUE!,Shouldn't be possible b/c can't exit at 16
14,17,1417,,,0,35661,0.21%,27.61,18.95,27.44,18.7,0.16,0.25,
14,18,1418,,,0,20844,0.12%,27.61,20.84,27.44,20.93,0.16,-0.09,
14,20,1420,,,1,30984,0.18%,27.61,16.16,27.44,16.12,0.16,0.04,
14,21,1421,,,1,6960,0.04%,27.61,NA,27.44,15.08,0.16,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 14-22 or 14-23
14,22,1422,,,1,60429,0.36%,27.61,13.70,27.44,13.6,0.16,0.10,
14,23,1423,,,0,13671,0.08%,27.61,13.84,27.44,13.92,0.16,-0.08,
15,15,1515,,,1,133089,0.78%,25.95,NA,26.16,25.17,-0.21,#VALUE!,Shouldn't be possible b/c can't exit at 15
15,16,1516,,,1,24310,0.14%,25.95,NA,26.16,21.83,-0.21,#VALUE!,Shouldn't be possible b/c can't exit at 16
15,17,1517,,,0,136420,0.80%,25.95,18.95,26.16,18.7,-0.21,0.25,
15,18,1518,,,0,109903,0.65%,25.95,20.84,26.16,20.93,-0.21,-0.09,
15,20,1520,,,1,212161,1.25%,25.95,16.16,26.16,16.12,-0.21,0.04,
15,21,1521,,,1,15634,0.09%,25.95,NA,26.16,15.08,-0.21,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 15-22 or 15-23
15,22,1522,,,1,335684,1.98%,25.95,13.70,26.16,13.6,-0.21,0.10,
15,23,1523,,,0,108877,0.64%,25.95,13.84,26.16,13.92,-0.21,-0.08,
16,16,1616,,,1,215519,1.27%,22.50,NA,22.31,21.83,0.19,#VALUE!,Shouldn't be possible b/c can't exit at 16
16,17,1617,,,0,173152,1.02%,22.50,18.95,22.31,18.7,0.19,0.25,
16,18,1618,,,0,147628,0.87%,22.50,20.84,22.31,20.93,0.19,-0.09,
16,20,1620,,,1,505611,2.98%,22.50,16.16,22.31,16.12,0.19,0.04,
16,21,1621,,,1,36057,0.21%,22.50,NA,22.31,15.08,0.19,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 16-22 or 16-23
16,22,1622,,,1,815028,4.80%,22.50,13.70,22.31,13.6,0.19,0.10,
16,23,1623,,,0,268609,1.58%,22.50,13.84,22.31,13.92,0.19,-0.08,
17,17,1717,,,0,213068,1.26%,21.59,18.95,21.36,18.7,0.23,0.25,
17,18,1718,,,1,34322,0.20%,21.59,20.84,21.36,20.93,0.23,-0.09,
17,20,1720,,,1,138758,0.82%,21.59,16.16,21.36,16.12,0.23,0.04,
17,21,1721,,,1,12229,0.07%,21.59,NA,21.36,15.08,0.23,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 17-22 or 17-23
17,22,1722,,,1,192928,1.14%,21.59,13.70,21.36,13.6,0.23,0.10,
17,23,1723,,,0,66866,0.39%,21.59,13.84,21.36,13.92,0.23,-0.08,
18,18,1818,,,1,21539,0.13%,NA,20.84,20.93,20.93,#VALUE!,-0.09,Shouldn't be possible b/c can't enter at 18
18,21,1821,,,1,1,0.00%,NA,NA,20.93,15.08,#VALUE!,#VALUE!,"Shouldn't be possible b/c can't enter at 18 and can't exit at 21; this only occurs once, so throw it out"
19,19,1919,,,1,221033,1.30%,20.35,18.95,20.47,18.7,-0.12,0.25,
19,20,1920,,,1,245862,1.45%,20.35,16.16,20.47,16.12,-0.12,0.04,
19,21,1921,,,1,11377,0.07%,20.35,NA,20.47,15.08,-0.12,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 19-22 or 19-23
19,22,1922,,,1,317734,1.87%,20.35,13.70,20.47,13.6,-0.12,0.10,
19,23,1923,,,0,169992,1.00%,20.35,13.84,20.47,13.92,-0.12,-0.08,
20,20,2020,,,1,415024,2.44%,18.95,16.16,18.7,16.12,0.25,0.04,
20,21,2021,,,1,29472,0.17%,18.95,NA,18.7,15.08,0.25,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 20-22 or 20-23
20,22,2022,,,1,465752,2.74%,18.95,13.70,18.7,13.6,0.25,0.10,
20,23,2023,,,0,125431,0.74%,18.95,13.84,18.7,13.92,0.25,-0.08,
21,21,2121,,,1,152098,0.90%,16.16,NA,16.12,15.08,0.04,#VALUE!,Shouldn't be possible b/c can't exit at 21; perhaps this should be same as 21-22 or 21-23
21,22,2122,,,1,387271,2.28%,16.16,13.70,16.12,13.6,0.04,0.10,
21,23,2123,,,0,75634,0.45%,16.16,13.84,16.12,13.92,0.04,-0.08,
22,22,2222,,,1,219605,1.29%,NA,13.70,15.63,13.6,#VALUE!,0.10,Shouldn't be possible b/c can't enter at 22
23,23,2323,,,1,41342,0.24%,NA,13.84,15.63,13.92,#VALUE!,-0.08,Shouldn't be possible b/c can't enter at 23
