share of income,share of fare,share of fare/share of income
0.001899519,0.036964345,19.45984396
0.002247083,0.020549695,9.145055318
0.003469731,0.022981989,6.623565306
0.004868959,0.025059569,5.146801974
0.005701878,0.024043421,4.216754791
0.007793093,0.027537217,3.533541606
0.00908822,0.028168941,3.099500176
0.011031649,0.029570692,2.680532252
0.012177187,0.029701214,2.439086683
0.029874318,0.062862456,2.104230703
0.052676761,0.090966592,1.72688279
0.105525006,0.140164446,1.328258123
0.122622184,0.122395821,0.998153983
0.110545511,0.090802694,0.821405535
0.184911269,0.117575713,0.635849364
0.335567633,0.130655194,0.38935577
